ra,dec,pmra,epmra,pmdec,epmdec,plx,eplx,mz,ez,my,ey,mj,ej,mh,eh,mk,ek,probability,cluster
257.613723662368,-36.9604913948359,0.997660577297211,0.0775748565793037,-3.34929656982422,0.0508042983710766,1.04615437984467,0.0557638332247734,NA,0.0192214013883245,NA,0.0161290836549937,14.396900177002,0.0162185895263826,13.9533004760742,0.0192214013883245,13.7826995849609,0.0166236378099568,1.0,ASCC_88
256.921206201519,-35.5838519581475,0.856646120548248,0.0203328914940357,-3.43066453933716,0.0135743785649538,1.10767698287964,0.0156203787773848,18.6196002960205,0.0300999423849104,18.0233001708984,0.0209319510269176,11.6131421463858,0.0391237882977601,11.4729902429509,0.0300999423849104,11.4119381065369,0.0482036309846694,1.0,ASCC_88
256.98274951801,-35.6169035966147,0.892182171344757,0.0684869661927223,-3.35406804084778,0.0479508489370346,1.13609063625336,0.0530571453273296,19.591100692749,0.0200332160247908,18.7175006866455,0.0170968263416777,14.2068004608154,0.0161986226967605,13.7513999938965,0.0200332160247908,13.604700088501,0.0160105518367252,1.0,ASCC_88
257.08492349917,-35.6710610180774,1.07644474506378,0.0792559459805489,-3.18437790870667,0.0551652945578098,1.09436881542206,0.0577148720622063,18.0426006317139,0.0198590395248873,17.369800567627,0.0164957845407653,14.2299995422363,0.0161385215427728,13.7433004379272,0.0198590395248873,13.5930004119873,0.0160089800667512,1.0,ASCC_88
257.145720605577,-35.6426900392581,1.0503705739975,0.0306263994425535,-3.24094367027283,0.019487489014864,1.13626801967621,0.0226573999971151,19.7017993927002,0.0185447365809136,18.6704998016357,0.0153042825430786,12.6522998809814,0.0156650320268146,12.3362791712889,0.0185447365809136,12.2191853961523,0.0181806022000774,1.0,ASCC_88
257.427514023716,-35.7035593415482,1.18138074874878,0.090163417160511,-3.40895938873291,0.0570766218006611,1.12281703948975,0.0647149235010147,16.0398006439209,0.0194191578633125,15.7918996810913,0.0167803518823313,14.3439998626709,0.0161057794608166,13.851300239563,0.0194191578633125,13.6579999923706,0.0160116708214687,1.0,ASCC_88
256.797623459991,-35.4838854537578,0.870404541492462,0.024296123534441,-3.2742486000061,0.0163394380360842,1.10030055046082,0.0191655252128839,NA,NA,19.1594009399414,NA,10.579590883255,0.0237649742835444,10.461585187912,NA,10.3465655708313,0.0251380989486188,1.0,ASCC_88
256.762042343155,-35.4291469248762,0.938794195652008,0.0466610267758369,-3.26201319694519,0.0323318503797054,1.08194935321808,0.0371311008930206,NA,0.0185453817139822,18.3815002441406,0.0167568459167833,13.5923004150391,0.0150981273064739,13.2180004119873,0.0185453817139822,13.0834999084473,0.015004843487045,1.0,ASCC_88
256.854003960593,-35.4575693704339,1.09476244449615,0.061133150011301,-3.31121015548706,0.0436357446014881,1.10616195201874,0.0486736670136452,20.1536998748779,0.0194449420401089,19.2399997711182,0.016413510806309,14.0691995620728,0.016201013789122,13.6197004318237,0.0194449420401089,13.4331998825073,0.0159105022352517,1.0,ASCC_88
256.857243680026,-35.4351183664462,0.796155154705048,0.0293787140399218,-3.27702140808105,0.0211884249001741,1.07313644886017,0.0230974499136209,19.9995002746582,0.0183251723676119,19.1774997711182,0.015359138745046,12.6056995391846,0.0160042765261888,12.2821116596946,0.0183251723676119,12.1284161418647,0.0196363215442481,1.0,ASCC_88
256.904252939462,-35.4330621569929,0.894975244998932,0.0230326559394598,-3.32853651046753,0.0163377653807402,1.08512675762177,0.017683794721961,NA,NA,NA,NA,10.5862256240845,0.025825840167868,10.5543100357056,NA,10.4360762786865,0.0271500283270169,1.0,ASCC_88
257.053807509079,-35.5882980611967,1.0065792798996,0.0377416126430035,-3.27964973449707,0.026043763384223,1.10426664352417,0.0293401945382357,15.5096998214722,0.0185487183875782,15.3399000167847,0.0156633080351957,13.2327995300293,0.0150604182295591,12.9085998535156,0.0185487183875782,12.7665996551514,0.0150073152350734,1.0,ASCC_88
257.109999593726,-35.51345765978,0.75127112865448,0.0192021261900663,-3.22473835945129,0.0134282717481256,1.09849846363068,0.0161234941333532,20.2252006530762,NA,19.3852996826172,0.0323864166566052,11.0936679792404,0.0226423274913063,10.9875796556473,NA,10.9259680461884,0.021131729413516,1.0,ASCC_88
256.836827467076,-35.417567988694,0.844671964645386,0.0534846857190132,-3.32345247268677,0.0361598804593086,1.15947270393372,0.0403263755142689,NA,0.0186716841589976,NA,0.0162462554094097,13.8496999740601,0.0152947418084524,13.4562997817993,0.0186716841589976,13.293999671936,0.0151314353563132,1.0,ASCC_88
256.852312800482,-35.4032507969318,0.902641475200653,0.0284141320735216,-3.28274488449097,0.0192368850111961,1.09455788135529,0.0215195305645466,18.8638000488281,0.0183908620501323,18.0224990844727,0.0154126070021849,12.6189002990723,0.0158917155892751,12.3458537119754,0.0183908620501323,12.228733862217,0.0183807403356708,1.0,ASCC_88
257.006569630508,-35.4226240788215,1.0407555103302,0.0675611793994904,-3.12534523010254,0.0446921810507774,1.11850559711456,0.050148006528616,15.940899848938,0.0193305689132082,15.6731004714966,0.0165275904217994,14.1887998580933,0.0161035426258673,13.7433004379272,0.0193305689132082,13.5731000900269,0.0160055496363947,1.0,ASCC_88
256.87799140482,-35.3547436315185,0.959196090698242,0.0825369283556938,-3.25592255592346,0.0592204481363297,1.05347943305969,0.0604033209383488,NA,0.0193537219407688,19.202299118042,0.0165542754799277,14.4098997116089,0.0160914166200163,13.9301996231079,0.0193537219407688,13.7560997009277,0.0164592818507573,1.0,ASCC_88
