"","ra","dec","pmra","epmra","pmdec","epmdec","mz","ez","my","ey","mj","ej","mh","eh","mk","ek","probability","Cluster"
"1",240.227609060655,-53.5125262653342,-4.46487617492676,0.0461457632482052,-4.75319814682007,0.0357640385627747,NA,NA,NA,NA,12.6035995483398,0.017452607751425,12.3142751693726,NA,12.1310996708608,0.0162223980857339,1,"Trumpler23"
"2",240.219275053968,-53.5540215374302,-4.44759702682495,0.238732174038887,-4.6313214302063,0.189893782138824,NA,0.0246746264941108,NA,0.0207711566548393,15.5212001800537,0.0203067473964165,15.0854997634888,0.0246746264941108,14.8831996917725,0.023314147713707,1,"Trumpler23"
"3",240.363535134968,-53.4253545552427,-4.43214178085327,0.769080519676208,-4.6029896736145,0.630043268203735,NA,0.0462989134614948,NA,0.0304461167735308,15.9898996353149,0.0240183733572645,15.3242998123169,0.0462989134614948,14.9658002853394,0.0244886778479518,0.46,"Trumpler23"
"4",240.10715072164,-53.4475969485267,-4.43187522888184,0.204118624329567,-4.58462285995483,0.155368626117706,NA,0.0216546978343412,NA,0.0182347474705477,15.0545997619629,0.0184799849715172,14.6606998443604,0.0216546978343412,14.420599937439,0.0196696337608884,1,"Trumpler23"
"5",240.135909721872,-53.7955938957877,-4.43032360076904,0.313764274120331,-4.71785831451416,0.328183233737946,NA,0.0759608550472514,NA,0.0247371791956572,14.4429998397827,0.0161261890387792,12.7665996551514,0.0759608550472514,11.9081533793577,0.0231873761502129,0.05,"Trumpler23"
"6",240.170285807381,-53.6790178723258,-4.42743730545044,0.0901858806610107,-4.68204212188721,0.0699089914560318,18.7049999237061,0.0192976352718505,18.0386009216309,0.016362034181347,14.1146001815796,0.016209936987339,13.8292999267578,0.0192976352718505,13.6577997207642,0.0160081265124265,1,"Trumpler23"
"7",240.333619706399,-53.5413078335811,-4.42221832275391,0.366347044706345,-4.66164207458496,0.344882041215897,19.7024002075195,0.22265960884173,17.7238998413086,0.064559664090245,15.8416004180908,0.0225859589953521,14.236499786377,0.22265960884173,13.3190002441406,0.0152700387455862,0.16,"Trumpler23"
"8",240.01882263601,-53.5400094868722,-4.42121410369873,0.0551487132906914,-4.70243549346924,0.0431675873696804,NA,NA,NA,NA,11.4074602165222,0.0238684520574853,11.2120997810364,NA,11.075960067749,0.0281403278001821,1,"Trumpler23"
"9",240.357931269229,-53.5046286489002,-4.42068004608154,0.589781701564789,-4.80709028244019,0.461048066616058,NA,0.03252867174396,NA,0.0235703867365149,15.5524997711182,0.020600491196484,14.9671001434326,0.03252867174396,14.6208000183105,0.0208519894809466,0.46,"Trumpler23"
"10",240.210871705978,-53.5303045231547,-4.41488647460938,0.0866631120443344,-4.77648067474365,0.0690420418977737,NA,0.0193096491667719,NA,0.0162105181603147,14.1076002120972,0.0162294554548752,13.8232002258301,0.0193096491667719,13.6241998672485,0.015978861141253,1,"Trumpler23"
