"","ra","dec","pmra","epmra","pmdec","epmdec","mz","ez","my","ey","mj","ej","mh","eh","mk","ek","probability","Cluster"
"17",243.432870588457,-54.1665687486382,-2.17695474624634,0.1387098133564,-2.4388370513916,0.110535740852356,19.4057998657227,0.0215259944639766,18.7049007415771,0.018916894597284,15.2082004547119,0.0196684480662742,14.8458995819092,0.0215259944639766,14.7600002288818,0.0219395780079134,1,"NGC6067"
"18",243.118462682201,-54.1128699445926,-2.17016792297363,0.306430757045746,-2.63556265830994,0.310265243053436,13.1125001907349,0.0242183671140239,12.9420003890991,0.0173642899067843,14.2004995346069,0.0164088672397657,13.0075998306274,0.0242183671140239,12.6159000396729,0.0150630036461558,0,"NGC6067"
"19",243.171182994563,-54.2105799088735,-2.16835856437683,0.105825059115887,-2.50440430641174,0.0952506512403488,19.3892002105713,0.0228052027932184,18.7453994750977,0.0185003395451581,14.976900100708,0.0183356798310907,14.5913000106812,0.0228052027932184,14.4883003234863,0.0202227020757148,1,"NGC6067"
"20",243.316143695305,-54.216448031643,-2.16500210762024,0.0624243319034576,-2.43877816200256,0.0474552698433399,19.1655006408691,0.0185040146379896,18.7345008850098,0.015360861424191,13.3022003173828,0.0160973972860805,13.1626996994019,0.0185040146379896,13.1230001449585,0.0150133426639238,1,"NGC6067"
"21",243.259571818624,-54.2526421855695,-2.16261100769043,0.0466030575335026,-2.65790009498596,0.0377356186509132,18.3644008636475,0.0189111896888231,17.9676990509033,0.0163861354767451,12.6752004623413,0.0179051436635595,12.5857000350952,0.0189111896888231,12.5424003601074,0.0150811223274,1,"NGC6067"
"22",243.403326965076,-54.0618183085052,-2.16247820854187,0.215197458863258,-2.72570943832397,0.173424914479256,15.4784002304077,0.0230634231718089,15.1932001113892,0.0205341466979744,15.4826002120972,0.0201543682622362,15.0319004058838,0.0230634231718089,14.9877004623413,0.024882367348447,0.5,"NGC6067"
"23",243.163711085566,-54.1701687049558,-2.15555119514465,0.0597522482275963,-2.64325189590454,0.0515190064907074,18.3666000366211,0.0182436678471427,17.8516006469727,0.0151066368533377,13.4551000595093,0.0154569111310732,13.2987003326416,0.0182436678471427,13.2479000091553,0.0149850454534188,1,"NGC6067"
"24",243.293936041686,-53.837368176904,-2.14984488487244,0.122204139828682,-2.37775611877441,0.0919790267944336,19.0279998779297,0.0200101117122488,18.5898990631104,0.0172577757375061,14.8410997390747,0.017418680474774,14.5398998260498,0.0200101117122488,14.4806003570557,0.0201706022617983,1,"NGC6067"
"25",243.433121756719,-54.3237989075888,-2.14422941207886,0.214071214199066,-2.41171216964722,0.280556797981262,999,999,999,999,13.0077039928436,0.0207791958973802,12.3692403507233,999,12.2121040077209,0.0251226992703993,1,"NGC6067"
"27",243.32404608979,-54.2513540135997,-2.14204096794128,0.087369404733181,-2.59641242027283,0.067177876830101,17.1860008239746,0.0183618430653443,16.8603992462158,0.01642980121376,13.8730001449585,0.0170405844283395,13.6947002410889,0.0183618430653443,13.6590003967285,0.0160957009916124,1,"NGC6067"
"28",243.257196592449,-54.2335762397024,-2.13470411300659,0.081119142472744,-2.54901814460754,0.0661464408040047,19.109899520874,NA,18.4316005706787,NA,11.3127615690231,0.0340381402507169,10.9894696474075,NA,11.0222121715546,0.0341975163766269,0.96,"NGC6067"
"29",243.234535209625,-54.1600082834104,-2.13147401809692,0.0664329305291176,-2.52572751045227,0.0571054629981518,999,999,999,999,9.95695363426209,0.0248628238907886,9.85499009132385,999,9.8926036491394,0.0281453379576343,1,"NGC6067"
"30",243.217308098952,-54.2777217581547,-2.13057065010071,0.0865363106131554,-2.57281637191772,0.0679750666022301,18.588399887085,NA,18.0683002471924,0.0261504694713558,11.831177527286,0.026063047848792,11.7556301116943,NA,11.7627073083887,0.0228207405320549,1,"NGC6067"
"31",243.240823252614,-54.2328945383783,-2.12840104103088,0.055793572217226,-2.6890504360199,0.0473336204886436,NA,0.018670443055102,NA,0.0154505287114583,13.4145002365112,0.0171784386686331,13.292799949646,0.018670443055102,13.2207002639771,0.0149564005249352,1,"NGC6067"
"32",243.223748610608,-54.2624902762313,-2.1253228187561,0.0847849324345589,-2.77058553695679,0.0681166425347328,16.788200378418,NA,16.0167007446289,0.0294310564638379,11.332635643959,0.0237649742835444,11.2946596670151,NA,11.2897359638214,0.0251380989486188,1,"NGC6067"
"33",243.316140973819,-54.3311781889167,-2.1237325668335,0.0726927071809769,-2.6319477558136,0.0570494718849659,999,999,999,999,10.3194811058044,0.0237649742835444,10.2377354621887,999,10.2717063140869,0.0251380989486188,1,"NGC6067"
"34",243.371755748404,-54.1948047512898,-2.11882615089417,0.100308731198311,-2.57855248451233,0.0667174160480499,12.855899810791,NA,12.4575004577637,NA,11.0627675943375,0.0464671837662144,11.0260796117783,NA,10.9925680332184,0.0482698046532223,1,"NGC6067"
"35",243.441788696135,-53.9728018374192,-2.11610507965088,0.0613184310495853,-2.8143949508667,0.045596044510603,18.324800491333,0.0183121188073641,17.8157997131348,0.016380179053844,13.7487001419067,0.0151783773218561,13.5403003692627,0.0183121188073641,13.5075998306274,0.0160705362133839,1,"NGC6067"
"36",243.007299846688,-54.3626780160011,-2.11538767814636,0.0663852617144585,-2.57943749427795,0.0488122627139091,NA,0.0232492506248291,NA,0.0170674280910795,12.1352194755755,0.029481267981907,12.0267356448968,0.0232492506248291,11.9912523586484,0.0213388870821525,1,"NGC6067"
"37",243.121645467947,-54.2804976886253,-2.11296367645264,0.0397576577961445,-2.77097630500793,0.0351807475090027,14.7067003250122,NA,13.9027004241943,NA,12.7651996612549,0.0158889560833288,12.6574001312256,NA,12.5410003662109,0.0150678852743585,1,"NGC6067"
"38",243.21814114046,-54.2273326054601,-2.11253261566162,0.0802134647965431,-2.51126742362976,0.0747902542352676,19.7371997833252,0.019963335096948,18.9647998809814,0.0172541678934178,14.1873998641968,0.0170924207923123,13.9407997131348,0.019963335096948,13.8798999786377,0.017107517380308,1,"NGC6067"
"39",243.289839800101,-54.025550258043,-2.1119019985199,0.0961196050047874,-2.63522505760193,0.0783992111682892,18.1989994049072,0.0191026151734272,17.6587009429932,0.0160407512618925,14.5474004745483,0.0162395184576317,14.2316999435425,0.0191026151734272,14.1899995803833,0.0174712024775504,1,"NGC6067"
"40",243.05238409881,-54.3480306505004,-2.11162877082825,0.0617015399038792,-2.51399803161621,0.0491585321724415,18.6525993347168,0.0201668354419109,18.0713005065918,0.0167810497233518,13.9349002838135,0.0162503682999306,13.7650003433228,0.0201668354419109,13.6187000274658,0.0160040688850688,1,"NGC6067"
"41",243.460962191443,-53.9620360772853,-2.11112952232361,0.0780851542949677,-2.45903778076172,0.0552082359790802,18.6966991424561,0.0188463523031895,18.3726005554199,0.0161460697611783,14.0335998535156,0.0162481263707647,13.77649974823,0.0188463523031895,13.7425003051758,0.0163923209468874,1,"NGC6067"
"42",243.356839234572,-54.2000918355443,-2.11102533340454,0.083000548183918,-2.55646634101868,0.059662938117981,17.9398994445801,NA,17.3358993530273,NA,11.5519933013916,0.0237022784175668,11.5204550552368,NA,11.469138418933,0.0273005955042627,1,"NGC6067"
"43",243.220450814838,-54.2012110279458,-2.11072945594788,0.0642711147665977,-2.68630886077881,0.0539838224649429,18.8013000488281,0.0182233849980853,18.0305004119873,0.0163110454769543,13.8236999511719,0.0160922566909933,13.6572999954224,0.0182233849980853,13.5649995803833,0.0160679368564295,1,"NGC6067"
"44",243.199928518458,-54.2466613053985,-2.10641503334045,0.0528335906565189,-2.61942768096924,0.0461546592414379,18.9689998626709,0.0242761610664982,18.3278999328613,0.0184989983465522,13.1388998031616,0.0188025727431211,12.9886999130249,0.0242761610664982,12.8861999511719,0.015066859605577,1,"NGC6067"
"46",243.537264244711,-54.1912675447927,-2.10509371757507,0.101628884673119,-2.6169593334198,0.0713064894080162,999,999,999,999,14.5931416921616,0.0381634121713812,14.275769906044,999,14.2830918483734,0.0792830156967997,1,"NGC6067"
"47",242.944850259612,-54.1726180485543,-2.10442924499512,0.240928038954735,-2.69669508934021,0.19521889090538,18.6798992156982,0.0282110415145906,18.2544002532959,0.024720484422816,15.8129997253418,0.0224419633076553,15.4225997924805,0.0282110415145906,15.2625999450684,0.0299250264467565,0.33,"NGC6067"
"48",243.324724349366,-54.3130977441086,-2.103764295578,0.04686239361763,-2.50707793235779,0.0372178182005882,999,999,999,999,13.2341650352478,0.026889161892096,13.0612751579285,999,12.956290184021,0.0291565078752241,1,"NGC6067"
"49",243.449951830047,-54.1382890096508,-2.10321164131165,0.0406716242432594,-2.85028338432312,0.0336374044418335,19.2224998474121,0.0181053462104529,18.5445995330811,0.0151026822934817,12.4269372789909,0.0214165170619222,12.1727852249146,0.0181053462104529,12.3038192313371,0.0179313362710066,1,"NGC6067"
"50",243.021141546469,-54.3299853553966,-2.09882092475891,0.101007252931595,-2.52212262153625,0.0817587077617645,19.6126003265381,0.0220912669903753,18.7551002502441,0.0179423756130109,14.7544002532959,0.0171923553847193,14.4883003234863,0.0220912669903753,14.3452997207642,0.0189188530139643,1,"NGC6067"
"51",243.322483856625,-54.2348964701097,-2.09852528572083,0.0786988884210587,-2.51255249977112,0.070653110742569,999,999,999,999,6.13647013378143,0.0207074619793936,5.74044994831085,999,5.52222002220154,0.0231208564279399,0.93,"NGC6067"
"52",243.259087555916,-54.2323077270022,-2.09602904319763,0.0887766182422638,-2.67036104202271,0.0634544789791107,18.546199798584,0.0192530118534505,18.0018997192383,0.0165958094428142,14.0426998138428,0.0174473946812283,13.8245000839233,0.0192530118534505,13.7524003982544,0.0165291458573955,1,"NGC6067"
