"","ra","dec","pmra","epmra","pmdec","epmdec","mz","ez","my","ey","mj","ej","mh","eh","mk","ek","probability","Cluster"
"1",190.140434197351,-60.5192233532581,-7.4201979637146,0.146942511200905,0.123490236699581,0.121771223843098,999,999,999,999,14.9198519544601,0.0534853894834333,14.2066198396683,999,14.0345519618988,0.0763299523498572,0.51,"Trumpler20"
"2",189.929884740858,-60.7795367352609,-7.39516162872314,0.504098892211914,0.271934896707535,1.10599935054779,19.0578002929688,0.0871492170097767,18.5118007659912,0.10556620357208,16.5911998748779,0.0613330343271106,16.0209999084473,0.0871492170097767,15.8159999847412,0.0443636569553712,0.01,"Trumpler20"
"3",189.738183353958,-60.5885809856433,-7.38509178161621,0.0528875887393951,0.26812556385994,0.0508570186793804,999,999,999,999,13.0635268688202,0.026793880451037,12.3537447452545,999,12.1051020622253,0.0261555353267662,0,"Trumpler20"
"4",189.798900922794,-60.8223950712982,-7.37447166442871,0.139630377292633,0.181499719619751,0.13271202147007,18.7073001861572,0.0245638931172231,18.3383007049561,0.0228789892805717,15.7988996505737,0.0222259004285244,15.4674997329712,0.0245638931172231,15.3621997833252,0.0319787580326526,1,"Trumpler20"
"5",189.938319483955,-60.511592956084,-7.37436103820801,0.072517417371273,0.16123454272747,0.0682899206876755,999,999,999,999,13.0860942773819,0.030916014576145,12.2558903264999,999,11.9882438831329,0.0301794625413387,0,"Trumpler20"
"6",189.953498760174,-60.6462274887455,-7.37415885925293,0.136519953608513,0.0382342971861362,0.119462870061398,18.8603000640869,0.0262159098554669,18.25830078125,0.0246111194382082,15.9491996765137,0.0237662605143688,15.6211004257202,0.0262159098554669,15.5195999145508,0.0356581843288098,1,"Trumpler20"
"7",190.080076424746,-60.8129670616338,-7.37191343307495,0.0355031304061413,0.221436604857445,0.0302839241921902,16.36549949646,0.0185762627709685,16.0555992126465,0.0176455095043663,11.7304949836731,0.0237022784175668,11.0848245429993,0.0185762627709685,10.8968704299927,0.023137588510496,0.98,"Trumpler20"
"8",190.146947154358,-60.67188914636,-7.37183904647827,0.139377549290657,0.157067075371742,0.120634108781815,13.2501001358032,0.0256191404735422,12.3842000961304,0.0236028550404879,15.8458003997803,0.0227065167824848,15.4879999160767,0.0256191404735422,15.4010000228882,0.0329448688722872,1,"Trumpler20"
"9",189.842819113656,-60.7523999664857,-7.37150287628174,0.119098894298077,0.218375042080879,0.111593492329121,18.9225006103516,0.0220721258757656,18.5587005615234,0.0194880776092818,15.4223003387451,0.0193222019740774,15.0887002944946,0.0220721258757656,14.9555997848511,0.0243085050778114,1,"Trumpler20"
"10",189.943921704761,-60.3423359444361,-7.3687310218811,0.301597565412521,0.0568913072347641,0.78976833820343,999,999,999,999,14.3482196531296,0.0441549424340325,14.0627001619339,999,13.9777195415497,0.0652758277458877,1,"Trumpler20"
"11",189.911879884117,-60.7249376771232,-7.36617755889893,0.0860066562891006,0.128234252333641,0.0723508447408676,17.5226001739502,0.0200637133802227,17.2882995605469,0.017391787035004,14.8143997192383,0.0172701056550946,14.5150003433228,0.0200637133802227,14.4075002670288,0.0195539981454736,1,"Trumpler20"
"12",189.870050634829,-60.6256331545687,-7.36235189437866,0.0726344808936119,0.234783142805099,0.0668448731303215,17.3341999053955,0.0201720852028929,17.0813007354736,0.0175673366738882,14.8915996551514,0.0179201801394893,14.5937004089355,0.0201720852028929,14.5218000411987,0.0204194976900498,1,"Trumpler20"
"13",190.054259571265,-60.5855095509005,-7.35836744308472,0.13168765604496,0.207001432776451,0.12026608735323,999,999,999,999,15.8903391084671,0.105958031170615,15.4969650602341,999,15.1776141605377,0.172689044305759,0.94,"Trumpler20"
"14",189.925651068907,-60.7131840497716,-7.35470581054688,0.108569018542767,0.145809203386307,0.101138554513454,16.1650009155273,0.0218651296334607,15.5486001968384,0.0192380535822,15.3759002685547,0.0191688415655659,15.0831003189087,0.0218651296334607,14.9725999832153,0.0246025122077114,1,"Trumpler20"
"15",190.029992562332,-60.8403077544771,-7.3525915145874,0.466842949390411,0.262067258358002,0.21329528093338,18.7987995147705,0.0255338991666666,18.4568004608154,0.0229609592264883,15.3194999694824,0.0197257538154701,14.9328002929688,0.0255338991666666,14.754599571228,0.0218549955520848,0.33,"Trumpler20"
"16",189.933241155374,-60.5563068807658,-7.35026884078979,0.0646189451217651,0.21064381301403,0.0620372295379639,999,999,999,999,8.30986212348938,0.0206414868940117,7.45797005653381,999,7.14181216812134,0.0211198008496822,0.97,"Trumpler20"
"18",190.024884071053,-60.6678273639559,-7.34406995773315,0.0496818013489246,0.291214615106583,0.0476068668067455,17.1275997161865,0.0195192244502901,16.7320995330811,0.0164021079386147,14.1660003662109,0.016357734935796,13.8743000030518,0.0195192244502901,13.7555999755859,0.0164937955681906,0.99,"Trumpler20"
"19",189.784039815373,-60.6257335031124,-7.33629894256592,0.0801879018545151,0.0793645083904266,0.0740547627210617,16.6075992584229,0.0216347000440612,15.9945001602173,0.0178275835792876,14.979700088501,0.0184418268253382,14.6590995788574,0.0216347000440612,14.5404996871948,0.0205676368940432,1,"Trumpler20"
"20",189.950965726806,-60.9660423529058,-7.33268260955811,0.218047052621841,0.26391676068306,0.204655453562737,NA,0.0273704609992445,NA,0.0240488599577105,15.7891998291016,0.0222161450563541,15.3583002090454,0.0273704609992445,15.1981000900269,0.0286467322808661,0.4,"Trumpler20"
"21",189.801737714421,-60.7731211054482,-7.33177089691162,0.123349830508232,0.291412383317947,0.105606026947498,16.6399993896484,0.0232400049612752,16.1499996185303,0.0209149984108682,15.608699798584,0.0211333051861953,15.2938995361328,0.0232400049612752,15.1969003677368,0.0286350610999815,1,"Trumpler20"
"22",190.08376768497,-60.6226492146623,-7.3311448097229,0.135295316576958,0.188248232007027,0.12359794229269,18.3600006103516,0.0251133876285343,17.9652004241943,0.0229446052698066,15.7704000473022,0.0224055151791992,15.3486995697021,0.0251133876285343,15.2580003738403,0.0299466956383422,0.54,"Trumpler20"
"23",190.042586764331,-60.6401564059458,-7.32900047302246,0.127600282430649,0.0586976744234562,0.11518008261919,15.549599647522,0.0246583394119899,14.9280004501343,0.0227269024149968,15.7552995681763,0.0221995977635279,15.4378004074097,0.0246583394119899,15.3306999206543,0.0314323846609346,1,"Trumpler20"
"25",190.009002733786,-60.6987618364604,-7.32293748855591,0.186010882258415,0.314470529556274,0.158784285187721,18.7271003723145,0.0258005049073661,18.4001998901367,0.0225254856223574,15.5701999664307,0.0209098736559205,15.0200996398926,0.0258005049073661,14.8540000915527,0.0229553495002154,0.02,"Trumpler20"
"26",189.876699890431,-60.8032889597276,-7.32117033004761,0.148684963583946,0.33260840177536,0.133134320378304,17.0300998687744,0.0252894098231523,16.6959991455078,0.0235166437077946,15.7980003356934,0.0222514943804194,15.3912000656128,0.0252894098231523,15.2723999023438,0.0301324692632193,0.54,"Trumpler20"
"27",189.888201161514,-60.6252544781441,-7.32064247131348,0.0461282022297382,0.305645138025284,0.0437233448028564,18.6812992095947,0.0185689072465939,18.1452007293701,0.0164763708159186,13.7673997879028,0.0154181938213166,13.4537000656128,0.0185689072465939,13.3725004196167,0.0156147958256651,1,"Trumpler20"
"29",189.939683963094,-60.6786958612902,-7.29899311065674,0.0511112436652184,0.0717061012983322,0.0462492853403091,18.8358993530273,0.0195512638253297,18.4249000549316,0.0164520453970274,14.1726999282837,0.0163263179537517,13.8874998092651,0.0195512638253297,13.7868995666504,0.0166934729802436,1,"Trumpler20"
"30",189.61161928239,-60.7854963405152,-7.29425525665283,0.158053398132324,0.241965547204018,0.138340726494789,19.265100479126,0.0267100176881433,18.755199432373,0.0241732969496289,15.8642997741699,0.0227337065354419,15.4630002975464,0.0267100176881433,15.3365001678467,0.0314203209375529,0.5,"Trumpler20"
"31",189.906548868221,-60.8255583141118,-7.29349756240845,0.291390895843506,0.180463999509811,0.247819021344185,19.0016994476318,0.0311904214874747,18.5407009124756,0.0253626301313792,15.8493995666504,0.0225988328867791,15.3397998809814,0.0311904214874747,15.1569995880127,0.0278563577664037,0.02,"Trumpler20"
"32",190.120773295974,-60.7442553594923,-7.29246234893799,0.111649908125401,0.0969293192028999,0.0967903211712837,16.0578002929688,0.0206054988844498,15.4617004394531,0.0180933278641807,15.1218004226685,0.0188521820557176,14.8024997711182,0.0206054988844498,14.7046003341675,0.0213751194045381,1,"Trumpler20"
"33",189.866367778475,-60.6508574206281,-7.29157114028931,0.0457786880433559,0.114358365535736,0.0436480678617954,17.6044006347656,0.0184228417766753,17.0956993103027,0.0162581892895331,13.9097995758057,0.0159028825722908,13.6050996780396,0.0184228417766753,13.5017995834351,0.0160691769886814,1,"Trumpler20"
"34",189.880950566654,-60.6988399251343,-7.29077291488647,0.276241511106491,0.288444846868515,0.254792302846909,18.3854007720947,0.0249792572691358,17.9584007263184,0.0198513404622018,15.0615997314453,0.0187415434734695,14.2534999847412,0.0249792572691358,13.9823999404907,0.0170885017731254,0.5,"Trumpler20"
"35",189.930933309573,-60.625798054924,-7.28968334197998,0.0606150403618813,0.217732414603233,0.0513265207409859,17.50830078125,0.0196556135331293,17.2292003631592,0.016273084143897,14.4946002960205,0.0162016014138373,14.2157001495361,0.0196556135331293,14.1412000656128,0.017270264418294,1,"Trumpler20"
"36",190.018725023492,-60.6800470583775,-7.28920364379883,0.0886702463030815,0.242875322699547,0.0818022415041924,17.9067001342773,0.0213537940673077,17.5410995483398,0.0190356551210053,15.2656002044678,0.0192307323943453,14.9731998443604,0.0213537940673077,14.8737001419067,0.023232358533946,1,"Trumpler20"
